policy,abstain_fraction,kept_fraction,accuracy,set_size_lt
by_confidence,0.9809053497942387,0.019094650205761315,0.9051724137931034,
by_confidence,0.9807407407407407,0.01925925925925926,0.905982905982906,
by_confidence,0.9805761316872428,0.019423868312757202,0.9067796610169492,
by_confidence,0.9804115226337449,0.019588477366255144,0.907563025210084,
by_confidence,0.980246913580247,0.019753086419753086,0.9083333333333333,
by_confidence,0.9800823045267489,0.019917695473251028,0.9090909090909091,
by_confidence,0.979917695473251,0.02008230452674897,0.9098360655737705,
by_confidence,0.9797530864197531,0.020246913580246915,0.9024390243902439,
by_confidence,0.9795884773662551,0.020411522633744857,0.9032258064516129,
by_confidence,0.9794238683127572,0.0205761316872428,0.904,
by_confidence,0.9792592592592593,0.02074074074074074,0.9047619047619048,
by_confidence,0.9790946502057614,0.020905349794238682,0.905511811023622,
by_confidence,0.9789300411522633,0.021069958847736627,0.90625,
by_confidence,0.9787654320987654,0.02123456790123457,0.8992248062015504,
by_confidence,0.9786008230452675,0.02139917695473251,0.9,
by_confidence,0.9784362139917695,0.021563786008230452,0.8931297709923665,
by_confidence,0.9782716049382716,0.021728395061728394,0.8939393939393939,
by_confidence,0.9781069958847737,0.021893004115226336,0.8947368421052632,
by_confidence,0.9779423868312758,0.02205761316872428,0.8955223880597015,
by_confidence,0.9777777777777777,0.022222222222222223,0.8962962962962963,
by_confidence,0.9776131687242798,0.022386831275720165,0.8970588235294118,
by_confidence,0.9774485596707819,0.022551440329218107,0.8978102189781022,
by_confidence,0.9772839506172839,0.02271604938271605,0.8985507246376812,
by_confidence,0.977119341563786,0.02288065843621399,0.8992805755395683,
by_confidence,0.9769547325102881,0.023045267489711935,0.8928571428571429,
by_confidence,0.9767901234567902,0.023209876543209877,0.8936170212765957,
by_confidence,0.9766255144032921,0.02337448559670782,0.8943661971830986,
by_confidence,0.9764609053497942,0.02353909465020576,0.8951048951048951,
by_confidence,0.9762962962962963,0.023703703703703703,0.8958333333333334,
by_confidence,0.9761316872427983,0.023868312757201648,0.896551724137931,
by_confidence,0.9759670781893004,0.02403292181069959,0.8972602739726028,
by_confidence,0.9758024691358025,0.02419753086419753,0.8979591836734694,
by_confidence,0.9756378600823046,0.024362139917695473,0.8986486486486487,
by_confidence,0.9754732510288066,0.024526748971193415,0.8993288590604027,
by_confidence,0.9753086419753086,0.024691358024691357,0.9,
by_confidence,0.9751440329218107,0.024855967078189302,0.9006622516556292,
by_confidence,0.9749794238683127,0.025020576131687244,0.9013157894736842,
by_confidence,0.9748148148148148,0.025185185185185185,0.9019607843137255,
by_confidence,0.9746502057613169,0.025349794238683127,0.9025974025974026,
by_confidence,0.974485596707819,0.02551440329218107,0.9032258064516129,
by_confidence,0.974320987654321,0.02567901234567901,0.9038461538461539,
by_confidence,0.974156378600823,0.025843621399176956,0.9044585987261147,
by_confidence,0.9739917695473251,0.026008230452674898,0.9050632911392406,
by_confidence,0.9738271604938271,0.02617283950617284,0.9056603773584906,
by_confidence,0.9736625514403292,0.02633744855967078,0.90625,
by_confidence,0.9734979423868313,0.026502057613168723,0.906832298136646,
by_confidence,0.9733333333333334,0.02666666666666667,0.9074074074074074,
by_confidence,0.9731687242798354,0.02683127572016461,0.9079754601226994,
by_confidence,0.9730041152263375,0.026995884773662552,0.9085365853658537,
by_confidence,0.9728395061728395,0.027160493827160494,0.9090909090909091,
by_confidence,0.9726748971193415,0.027325102880658435,0.9096385542168675,
by_confidence,0.9725102880658436,0.027489711934156377,0.9041916167664671,
by_confidence,0.9723456790123457,0.027654320987654323,0.9047619047619048,
by_confidence,0.9721810699588478,0.027818930041152264,0.9053254437869822,
by_confidence,0.9720164609053498,0.027983539094650206,0.9058823529411765,
by_confidence,0.9718518518518519,0.028148148148148148,0.9064327485380117,
by_confidence,0.971687242798354,0.02831275720164609,0.9069767441860465,
by_confidence,0.9715226337448559,0.02847736625514403,0.9075144508670521,
by_confidence,0.971358024691358,0.028641975308641977,0.9080459770114943,
by_confidence,0.9711934156378601,0.02880658436213992,0.9085714285714286,
by_confidence,0.9710288065843622,0.02897119341563786,0.9090909090909091,
by_confidence,0.9708641975308642,0.029135802469135802,0.9096045197740112,
by_confidence,0.9706995884773663,0.029300411522633744,0.9044943820224719,
by_confidence,0.9705349794238683,0.029465020576131686,0.9050279329608939,
by_confidence,0.9703703703703703,0.02962962962962963,0.9055555555555556,
by_confidence,0.9702057613168724,0.029794238683127573,0.9060773480662984,
by_confidence,0.9700411522633745,0.029958847736625514,0.9065934065934066,
by_confidence,0.9698765432098766,0.030123456790123456,0.907103825136612,
by_confidence,0.9697119341563786,0.030288065843621398,0.907608695652174,
by_confidence,0.9695473251028807,0.030452674897119343,0.9081081081081082,
by_confidence,0.9693827160493828,0.030617283950617285,0.9086021505376344,
by_confidence,0.9692181069958847,0.030781893004115227,0.9090909090909091,
by_confidence,0.9690534979423868,0.03094650205761317,0.9042553191489362,
by_confidence,0.9688888888888889,0.03111111111111111,0.9047619047619048,
by_confidence,0.968724279835391,0.031275720164609055,0.9,
